Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Khampti,India,IND,Vulnerable,13000.0,27.8827,96.5093,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Bangani,India,IND,Critically endangered,12000.0,29.8692,79.0686,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Hill Miri,India,IND,Definitely endangered,12000.0,27.7078,94.0374,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Lamgang,India,IND,Critically endangered,10000.0,24.2569,94.0759,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Muot,India,IND,Critically endangered,10000.0,8.0932,93.4963,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Naiki,India,IND,Critically endangered,10000.0,19.8287,78.2281,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Rongpo,India,IND,Vulnerable,8000.0,30.7229,79.7387,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Asur,India,IND,Definitely endangered,7000.0,22.4719,84.9023,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Gorum,India,IND,Definitely endangered,5000.0,18.667,83.0346,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kom,India,IND,Definitely endangered,5000.0,24.0414,93.6639,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Miji,India,IND,Definitely endangered,5000.0,27.3351,92.5735,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Pu,India,IND,Critically endangered,5000.0,8.2549,93.1022,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Singpho,India,IND,Definitely endangered,5000.0,27.5569,96.7456,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Turi,India,IND,Definitely endangered,5000.0,21.8411,87.2973,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Aka,"India, Sudan",IND,Definitely endangered,4000.0,27.1666,92.6312,4.184796296296296,29.0,57.13,Moderate Proficiency,2,545871973314.2758
